id,spotify_id,name,musicbrainz_id,aliases
52baef93-d60f-48aa-abdc-37164b0bf148,2TTGZUWJg6LIOWsmCEgKCZ,래원,not_found,[]
04fe43fd-c9c0-4370-9cd6-3f6a1479e788,0su5mZ6qhvOUhz7ckEx8rR,염따,not_found,[]
07cd2790-39aa-4adf-b4e3-a49459c0c824,6N7b9mUVwn885jI7RRg8no,미란이,not_found,[]
75fff1d7-a199-4f4d-97a7-d55c4c56ea79,6O7LgtO6NKOOOudzRayUfJ,브라운 아이즈,not_found,[]
811dffeb-e276-4afa-af9e-42a1a7f0de4d,2tB3jPHyyfcxvvor2flc1Q,김심야,not_found,[]
d4848aa0-aaec-4c2b-91a4-7d62b2029d13,3LKVw6XQYcot0OZMFmf4IP,산다라박,not_found,[]
f8fbf3b2-2e11-4ee7-8093-366a7b41f73c,4ZPInhlYlpaCsk1vnHmKBP,서사무엘,not_found,[]
0994f3a7-0296-40d4-b2b0-673e3f6a5793,2ZmXexIJAD7PgABrj0qQRb,엔플라잉,not_found,[]
78445c55-7a38-4203-bb5d-753186e1970b,3ihcza50ukOh0F8DDBNs85,시나위,not_found,[]
b266c4dc-0fc3-46fa-b5c6-737bfb95286d,6XBntNN5Zh9iBg8adnaY74,MC 스나이퍼,not_found,[]
df119e19-0a7c-4566-809b-205ca33f9876,1OQxmfKN9UG5C7nr4MkasO,대성,not_found,[]
95779e61-5e3b-4cda-95d7-50d0481e9593,3Zn6C68VCosoQrxu4D2Btr,나플라,not_found,[]
e9565cbc-ecfb-46ea-960a-bbe11313bf82,5xWKWXamxbujIdti9xpnI1,마미손,not_found,[]
4acef703-b82f-419b-ba41-e95ae41cb621,1q1Fe4tXiu1Weq4U0uhqPi,자메즈,not_found,[]
ab05979f-207b-4296-bb14-8ac000d5ca30,3txAiGYUmI4p84stqOoi1s,다섯,not_found,[]
15eb4452-23b9-4977-9a3e-63b04551fcb1,6WWUJGBY4ETAE22tRmgJ8b,다운,not_found,[]
2d4e3ab5-739f-4f2d-8ea1-8d34003aa011,7pMFAOPNBL5beBLW4Pohst,디보,not_found,[]
e388779d-02d3-4389-a5c7-420d5e18599a,0YE7929Kw8hXmap9LKxUiC,스월비,not_found,[]
b5174319-f8da-478b-83b0-1278277abf18,4BBN286rBKyCWsSPq2cxYO,샘김,not_found,[]
7daef17c-235e-473b-87b4-e37fa0c8a352,2dweiCCulgLgYVJDh5TQWT,손보리,not_found,[]
6a7a923b-4c4e-47a0-b857-1fda386a7221,4N2CbwZ7ekytt9Oi5dh4Vq,플로우식,not_found,[]
cdbf83cd-a2f8-479b-83d4-58c3d8c8f364,4QDcs3XrA8uHUZ7Xt9Ytep,프라이머리,not_found,[]
b1358fb1-2f36-4b5d-941b-fcb51f96e0e2,3xrnRphP6QI5zADyMWmtV0,이영신,not_found,[]
32571888-e267-41f6-b1cf-4c1f02c9c0be,5snNHNlYT2UrtZo5HCJkiw,에픽하이,not_found,[]
9d8688e5-6f36-4586-a555-4a92b817c8e8,46Bj2frkvUzqJUwcSx24Wo,포지션,not_found,[]
c0414f77-2bf1-40d2-ac35-857c9e6d9f85,29UQ130XMQDR55X4Rmjapd,밍기뉴,not_found,[]
e9e7a05b-51d8-4c80-87d3-1447f703b07e,2Yv0nlRtzgPl6u0dsS2hFv,팔로알토,not_found,[]
6a2ff417-9ca3-4102-825d-ff070aedc36f,0hKq3u04JU5IuGNSTGyngJ,신기원,not_found,[]
d17b69ca-b5b8-46bc-8ad3-127ceb0ade9c,0Q5XzDpn7DCI5jlubok4xb,수퍼비,not_found,[]
d1209acc-d31c-47fe-8573-795b0f383e4f,6keuCA49b9am8lisSodCh7,노브레인,not_found,[]
214c0e44-15ac-4aa2-af1e-541966d04181,7pXKdkQsYFCMG2omRxheJ2,베이식,not_found,[]
c855413c-2c47-472b-bcaa-f0f4625c4919,40VHZeuDf846LWMOWS8tzp,권기백,not_found,[]
21eae125-bf27-4249-b9df-fbcfc0fa709a,5vXRQROXJyJ9ES3l2Wy9wk,주혁,not_found,[]
215325ee-0cda-406c-816d-5d72c189162a,49cCO8Hy5heGnXj9hb6KEW,조광일,not_found,[]
166e7989-3ea9-4bce-b66a-7f959c57452e,3hk800Fb8F8IQe1WfFGT1w,데드피,not_found,[]
c0bf2286-ea87-4a93-8be9-35c6ebac50ed,31jg46rtB7MyrVPXZATmsa,테이크원,not_found,[]
b4d339da-a3fd-41af-a80d-1d0a99155e2b,4pBsJFHxQhnWlTShadz1rm,김반장과 윈디시티,not_found,[]
857f591c-83aa-4bdc-a9a7-8797a5521ade,762fgqQ2gz5w7q1VkDOmja,최성,not_found,[]
3d5ae0e2-4b18-49de-b093-2d170d2ddd94,3HfWEOcXit3EkuRCt5M3Yd,스웨이디,not_found,[]
9ead37cb-5b4a-41dd-9c02-b49ddbeafe9f,5DIi2JWfQPTKffaVBlIYRn,식케이,not_found,[]
cdc09877-6957-47a1-b81e-ea78862a6173,71kRpwy6xTeG2OXXkRJdkA,국카스텐,not_found,[]
